Cistrome_id,Species,External_id,External_id_type,Factor,Ontology,FastQC,MappedRatio,PBC,PeaksFoldChangeAbove10,FRiP,PeaksUnionDHSRatio,FastQC_flag,MappedRatio_flag,PBC_flag,FRiP_flag,DHSRatio_flag,sum_four_scores,ENCODE_accession,SRA_ENCODE,ENCODE_status
145859,homo_sapiens,GSM5214328,GEO,FOXJ3,K562,36.0,0.0,0.99,318.0,0.0115615190194998,0.683572710951526,1,0,1,1,0,3,ENCFF471BBK,SRR14103831,released
145861,homo_sapiens,GSM5214029,GEO,ZFP41,Hep-G2,36.0,0.0,0.988,432.0,0.0455150649440141,0.9198,1,0,1,1,1,4,ENCFF432IJG,SRR14103311,released
145874,homo_sapiens,GSM5214746,GEO,THAP9,Hep-G2,36.0,0.0,0.982,719.0,0.0448949058230307,0.9196,1,0,1,1,1,4,ENCFF465DES,SRR14105158,released
145899,homo_sapiens,GSM5214456,GEO,ZBTB4,Hep-G2,36.0,0.0,0.987,195.0,0.0236302342228437,0.9092,1,0,1,1,1,4,ENCFF291VPP,SRR14104059,released
145908,homo_sapiens,GSM5214626,GEO,ZNF77,K562,40.0,0.0,0.994,322.0,0.0177171261301497,0.4539959704499664,1,0,1,1,0,3,ENCFF803NKB,SRR14104353,released
145914,homo_sapiens,GSM5214252,GEO,DDIT3,Hep-G2,34.0,0.0,0.977,163.0,0.0094779951894925,0.9208791208791208,1,0,1,0,1,3,ENCFF673DSS,SRR14103715,released
145920,homo_sapiens,GSM5214421,GEO,TEAD4,Hep-G2,34.0,0.0,0.994,3385.0,0.0608159917237137,0.9448,1,0,1,1,1,4,ENCFF101AMD,SRR14104003,released
145924,homo_sapiens,GSM5214223,GEO,ZNF76,K562,39.0,0.0,0.982,433.0,0.0257375894572243,0.7842,1,0,1,1,1,4,ENCFF645PLM,SRR14103663,released
145966,homo_sapiens,GSM5214807,GEO,Hnf1b,Hep-G2,36.0,0.0,0.982,1787.0,0.1328260619431063,0.9524,1,0,1,1,1,4,ENCFF290ZIZ,SRR14105274,released
145968,homo_sapiens,GSM5214171,GEO,Fosl2,Hep-G2,34.0,0.0,0.984,18075.0,0.2370168879121627,0.973,1,0,1,1,1,4,ENCFF292LDB,SRR14103557,released
145972,homo_sapiens,GSM5214403,GEO,HNF4A,Hep-G2,34.0,0.0,0.992,16203.0,0.1618404988046794,0.9538,1,0,1,1,1,4,ENCFF382VQI,SRR14103974,released
145974,homo_sapiens,GSM5214385,GEO,TFDP2,Hep-G2,34.0,0.0,0.994,2854.0,0.0630537041308347,0.9608,1,0,1,1,1,4,ENCFF760KQT,SRR14103934,released
145975,homo_sapiens,GSM5214675,GEO,CREB3,Hep-G2,35.0,0.0,0.993,357.0,0.0220703433731389,0.9372,1,0,1,1,1,4,ENCFF450AJC,SRR14104443,released
146004,homo_sapiens,GSM5214791,GEO,Zbtb1,Hep-G2,35.0,0.0,0.995,326.0,0.0186848063495507,0.913,1,0,1,1,1,4,ENCFF716JUA,SRR14105252,released
146012,homo_sapiens,GSM5214095,GEO,ZNF41,K562,40.0,0.0,0.988,675.0,0.0175325932820625,0.7327549724925941,1,0,1,1,1,4,ENCFF978IFY,SRR14103419,released
146023,homo_sapiens,GSM5214189,GEO,Rreb1,K562,40.0,0.0,0.993,422.0,0.0271404131176432,0.791,1,0,1,1,1,4,ENCFF907VAK,SRR14103608,released
146026,homo_sapiens,GSM5214210,GEO,DMTF1,Hep-G2,36.0,0.0,0.977,400.0,0.020661419100178,0.8986,1,0,1,1,1,4,ENCFF884SJH,SRR14103645,released
146039,homo_sapiens,GSM5214277,GEO,ZNF83,Hep-G2,37.0,0.0,0.977,371.0,0.0327927372625966,0.8908,1,0,1,1,1,4,ENCFF345HGP,SRR14103754,released
146040,homo_sapiens,GSM5214486,GEO,Nr2f6,K562,34.0,0.0,0.991,420.0,0.0117203543537212,0.8602957906712173,1,0,1,1,1,4,ENCFF611DVN,SRR14104103,released
146062,homo_sapiens,GSM5214382,GEO,Nr1h2,K562,36.0,0.0,0.988,236.0,0.0203082287904264,0.889,1,0,1,1,1,4,ENCFF891ZYP,SRR14103931,released
146064,homo_sapiens,GSM5214404,GEO,HNF4A,Hep-G2,34.0,0.0,0.991,21257.0,0.2149430400943212,0.9564,1,0,1,1,1,4,ENCFF416JVM,SRR14103975,released
146065,homo_sapiens,GSM5214010,GEO,Clock,K562,40.0,0.0,0.985,390.0,0.0188974896972417,0.671486953788117,1,0,1,1,0,3,ENCFF337DOV,SRR14103285,released
146075,homo_sapiens,GSM5214497,GEO,Nr3c1,Hep-G2,34.0,0.0,0.995,120.0,0.0096822670835156,0.7658119658119659,1,0,1,0,1,3,ENCFF726PBW,SRR14104117,released
146081,homo_sapiens,GSM5214612,GEO,TCFL5,K562,40.0,0.0,0.975,512.0,0.0164658219795802,0.527681660899654,1,0,1,1,0,3,ENCFF973LJD,SRR14104336,released
146098,homo_sapiens,GSM5214092,GEO,HOXB5,A549,38.0,0.0,0.975,521.0,0.0234721571454708,0.8664,1,0,1,1,1,4,ENCFF657OOT,SRR14103416,released
146127,homo_sapiens,GSM5214727,GEO,FOXA1,Hep-G2,34.0,0.0,0.995,9725.0,0.0882550194596677,0.9608,1,0,1,1,1,4,ENCFF015SPJ,SRR14105123,released
146134,homo_sapiens,GSM5214358,GEO,Arntl,Hep-G2,36.0,0.0,0.978,1361.0,0.0603197378202734,0.9338,1,0,1,1,1,4,ENCFF912EDI,SRR14103878,released
146135,homo_sapiens,GSM5214747,GEO,ZFP37,Hep-G2,35.0,0.0,0.993,320.0,0.0260683679461041,0.9388,1,0,1,1,1,4,ENCFF475WWC,SRR14105159,released
146153,homo_sapiens,GSM5214736,GEO,KLF10,K562,40.0,0.0,0.992,425.0,0.0162881954583414,0.514526710402999,1,0,1,1,0,3,ENCFF097ZBB,SRR14105145,released
146173,homo_sapiens,GSM5214537,GEO,SOX18,Hep-G2,36.0,0.0,0.985,275.0,0.0235938179957543,0.8932,1,0,1,1,1,4,ENCFF090MFI,SRR14104195,released
146192,homo_sapiens,GSM5214222,GEO,ZNF76,K562,40.0,0.0,0.981,361.0,0.0201668072017582,0.7170290878282971,1,0,1,1,1,4,ENCFF818RGZ,SRR14103662,released
146193,homo_sapiens,GSM5214627,GEO,ZNF77,K562,40.0,0.0,0.994,306.0,0.0174253540138187,0.4529855868222375,1,0,1,1,0,3,ENCFF581YGY,SRR14104354,released
146196,homo_sapiens,GSM5214139,GEO,Klf13,Hep-G2,36.0,0.0,0.986,250.0,0.0285879441247044,0.8706,1,0,1,1,1,4,ENCFF540NXQ,SRR14103506,released
146200,homo_sapiens,GSM5214253,GEO,DDIT3,Hep-G2,34.0,0.0,0.996,169.0,0.0118282767945705,0.8944539457610554,1,0,1,1,1,4,ENCFF118VEY,SRR14103716,released
146206,homo_sapiens,GSM5214094,GEO,ZNF41,K562,40.0,0.0,0.988,827.0,0.0189023760608193,0.7068,1,0,1,1,1,4,ENCFF718KNW,SRR14103418,released
146216,homo_sapiens,GSM5214188,GEO,Rreb1,K562,40.0,0.0,0.993,452.0,0.0258604405862042,0.772,1,0,1,1,1,4,ENCFF583VLJ,SRR14103607,released
146219,homo_sapiens,GSM5214289,GEO,Esrrb,K562,39.0,0.0,0.98,320.0,0.0150509396807552,0.366447985004686,1,0,1,1,0,3,ENCFF773BDS,SRR14103781,released
146236,homo_sapiens,GSM5214960,GEO,TEAD1,K562,40.0,0.0,0.989,375.0,0.0156902822898809,0.683445945945946,1,0,1,1,0,3,ENCFF480VTB,SRR14105532,released
146241,homo_sapiens,GSM5214708,GEO,FOXO1,Hep-G2,34.0,0.0,0.992,7464.0,0.1031889386268913,0.9624,1,0,1,1,1,4,ENCFF323JWJ,SRR14104503,released
146242,homo_sapiens,GSM5214674,GEO,CREB3,Hep-G2,35.0,0.0,0.993,364.0,0.0241044136064189,0.9406,1,0,1,1,1,4,ENCFF724TNQ,SRR14104442,released
146249,homo_sapiens,GSM5214200,GEO,SMAD9,Hep-G2,36.0,0.0,0.983,294.0,0.0201980265367412,0.8712,1,0,1,1,1,4,ENCFF034ETQ,SRR14103627,released
146252,homo_sapiens,GSM5214768,GEO,HOXA5,Hep-G2,34.0,0.0,0.991,1181.0,0.0714048536207448,0.954,1,0,1,1,1,4,ENCFF275FEA,SRR14105218,released
